Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,7,175,6,Some Random Commen with Id 0
1,1,7,31,7,Some Random Commen with Id 1
2,1,7,49,4,Some Random Commen with Id 2
3,1,7,57,1,Some Random Commen with Id 3
4,1,7,41,9,Some Random Commen with Id 4
5,1,7,31,6,Some Random Commen with Id 5
6,2,5,173,4,Some Random Commen with Id 6
7,2,5,17,4,Some Random Commen with Id 7
8,3,6,100,2,Some Random Commen with Id 8
9,3,6,20,8,Some Random Commen with Id 9
10,3,6,101,9,Some Random Commen with Id 10
11,3,6,72,1,Some Random Commen with Id 11
12,3,6,28,8,Some Random Commen with Id 12
13,4,5,16,4,Some Random Commen with Id 13
14,4,5,59,1,Some Random Commen with Id 14
15,4,5,186,9,Some Random Commen with Id 15
16,4,5,195,5,Some Random Commen with Id 16
17,5,0,191,4,Some Random Commen with Id 17
18,5,0,149,1,Some Random Commen with Id 18
19,5,0,20,6,Some Random Commen with Id 19
20,5,0,195,7,Some Random Commen with Id 20
21,5,0,51,0,Some Random Commen with Id 21
22,6,3,186,3,Some Random Commen with Id 22
23,6,3,199,5,Some Random Commen with Id 23
24,6,3,22,1,Some Random Commen with Id 24
25,6,3,5,8,Some Random Commen with Id 25
26,6,3,42,0,Some Random Commen with Id 26
27,6,3,55,5,Some Random Commen with Id 27
28,6,3,29,4,Some Random Commen with Id 28
29,6,3,100,4,Some Random Commen with Id 29
30,6,3,186,5,Some Random Commen with Id 30
31,7,7,177,2,Some Random Commen with Id 31
32,7,7,176,4,Some Random Commen with Id 32
33,7,7,86,5,Some Random Commen with Id 33
34,7,7,180,5,Some Random Commen with Id 34
35,8,1,117,0,Some Random Commen with Id 35
36,9,9,55,1,Some Random Commen with Id 36
37,9,9,146,4,Some Random Commen with Id 37
38,9,9,5,1,Some Random Commen with Id 38
39,9,9,196,0,Some Random Commen with Id 39
40,9,9,9,7,Some Random Commen with Id 40
41,9,9,49,0,Some Random Commen with Id 41
42,10,9,194,6,Some Random Commen with Id 42
43,10,9,137,4,Some Random Commen with Id 43
44,10,9,148,9,Some Random Commen with Id 44
45,10,9,156,2,Some Random Commen with Id 45
46,10,9,69,1,Some Random Commen with Id 46
47,10,9,178,8,Some Random Commen with Id 47
48,10,9,0,2,Some Random Commen with Id 48
49,10,9,29,1,Some Random Commen with Id 49
50,11,7,96,9,Some Random Commen with Id 50
51,11,7,64,2,Some Random Commen with Id 51
52,11,7,161,3,Some Random Commen with Id 52
53,11,7,141,0,Some Random Commen with Id 53
54,11,7,0,6,Some Random Commen with Id 54
55,11,7,156,6,Some Random Commen with Id 55
56,11,7,42,9,Some Random Commen with Id 56
57,11,7,191,9,Some Random Commen with Id 57
58,12,4,17,6,Some Random Commen with Id 58
59,12,4,5,9,Some Random Commen with Id 59
60,12,4,151,5,Some Random Commen with Id 60
61,12,4,40,2,Some Random Commen with Id 61
62,12,4,198,6,Some Random Commen with Id 62
63,12,4,129,7,Some Random Commen with Id 63
64,12,4,158,2,Some Random Commen with Id 64
65,12,4,46,5,Some Random Commen with Id 65
66,13,6,77,9,Some Random Commen with Id 66
67,13,6,131,5,Some Random Commen with Id 67
68,13,6,65,0,Some Random Commen with Id 68
69,14,1,54,3,Some Random Commen with Id 69
70,14,1,53,6,Some Random Commen with Id 70
71,14,1,74,9,Some Random Commen with Id 71
72,14,1,166,9,Some Random Commen with Id 72
73,14,1,96,9,Some Random Commen with Id 73
74,15,8,50,3,Some Random Commen with Id 74
75,15,8,176,4,Some Random Commen with Id 75
76,15,8,146,5,Some Random Commen with Id 76
77,15,8,184,8,Some Random Commen with Id 77
78,15,8,29,3,Some Random Commen with Id 78
79,15,8,94,6,Some Random Commen with Id 79
80,15,8,117,2,Some Random Commen with Id 80
81,15,8,49,3,Some Random Commen with Id 81
82,15,8,73,7,Some Random Commen with Id 82
83,16,9,43,9,Some Random Commen with Id 83
84,16,9,96,3,Some Random Commen with Id 84
85,16,9,102,5,Some Random Commen with Id 85
86,16,9,54,6,Some Random Commen with Id 86
87,16,9,49,9,Some Random Commen with Id 87
88,16,9,23,1,Some Random Commen with Id 88
89,16,9,93,5,Some Random Commen with Id 89
90,16,9,106,7,Some Random Commen with Id 90
91,16,9,135,4,Some Random Commen with Id 91
92,17,1,146,6,Some Random Commen with Id 92
93,17,1,16,6,Some Random Commen with Id 93
94,17,1,68,5,Some Random Commen with Id 94
95,17,1,130,2,Some Random Commen with Id 95
96,17,1,11,7,Some Random Commen with Id 96
97,17,1,75,1,Some Random Commen with Id 97
98,18,8,180,5,Some Random Commen with Id 98
99,18,8,64,5,Some Random Commen with Id 99
100,18,8,166,4,Some Random Commen with Id 100
101,18,8,76,1,Some Random Commen with Id 101
102,18,8,70,2,Some Random Commen with Id 102
103,18,8,115,6,Some Random Commen with Id 103
104,19,5,2,3,Some Random Commen with Id 104
105,19,5,76,7,Some Random Commen with Id 105
106,19,5,151,4,Some Random Commen with Id 106
107,19,5,163,2,Some Random Commen with Id 107
108,19,5,143,7,Some Random Commen with Id 108
109,21,5,183,7,Some Random Commen with Id 109
110,21,5,158,1,Some Random Commen with Id 110
111,21,5,148,2,Some Random Commen with Id 111
112,21,5,174,6,Some Random Commen with Id 112
113,21,5,97,6,Some Random Commen with Id 113
